show_id,Type,Title,Director,Country,Date_added,Date_Added,Release_Year,Rating,Duration,Listed_In,IMDB_Rating,IMBD_Votes
s691,Movie,Black,Raja Chanda,India,10/29/2020,8/01/2021,2015,TV-14,137 min,"Action & Adventure, International Movies",4.4,74
s742,Movie,Satria Heroes: Revenge of the Darkness,"Kenzo Maihara, Amandha Wyanto",Indonesia,10/19/2020,1/15/2020,2017,TV-G,92 min,Children & Family Movies,4.4,69
s828,Movie,Killing Hasselhoff,Darren Grant,United States,9/28/2020,8/11/2019,2017,R,80 min,Comedies,4.4,2655
s827,Movie,Seriously Single,"Katleho Ramaphakela, Rethabile Ramaphakela",South Africa,9/22/2020,10/18/2019,2020,TV-MA,108 min,"Comedies, International Movies, Romantic Movies",4.4,1258
s943,Movie,Prem Ratan Dhan Payo,Sooraj R. Barjatya,India,8/14/2020,2/08/2018,2015,TV-14,164 min,"Action & Adventure, Dramas, International Movies",4.4,21487
s1132,Movie,Stunt School,Ali Yorgancıoğlu,Turkey,06-07-2020,7/17/2020,2019,TV-G,95 min,"Children & Family Movies, Comedies, International Movies",4.4,1123
s1576,Movie,Kill Me If You Dare,Şenol Sönmez,Turkey,11/28/2019,3/04/2018,2019,TV-14,100 min,"Comedies, International Movies, Romantic Movies",4.4,1737
s1610,Movie,Sextuplets,Michael Tiddes,United States,11-12-2019,10/03/2021,2019,TV-14,100 min,Comedies,4.4,8380
s1649,Movie,Secret Obsession,Peter Sullivan,United States,10/31/2019,4/22/2021,2019,TV-14,98 min,Thrillers,4.4,21011
s2491,Movie,Something Huge,Carlo Padial,Spain,07-01-2018,7/26/2019,2017,TV-MA,87 min,"Comedies, Independent Movies, International Movies",4.4,479
s2613,Movie,Pup Star: Better 2Gether,Robert Vince,Canada,04-01-2018,1/10/2018,2017,PG,93 min,"Children & Family Movies, Comedies",4.4,234
s2860,Movie,Felipe Neto: My Life Makes No Sense,Diego Pignataro,Brazil,09-01-2017,10/15/2018,2017,TV-MA,91 min,Stand-Up Comedy,4.4,245
s3045,Movie,Mike Epps: Don't Take It Personal,L. Frazier,United States,04-11-2017,12/10/2018,2015,TV-MA,60 min,Stand-Up Comedy,4.4,274
s3212,Movie,The Figurine (Araromire),Kunle Afolayan,Nigeria,04-08-2016,8/04/2016,2009,TV-14,121 min,"Horror Movies, International Movies, Thrillers",4.4,243
s90,Movie,Prey,Thomas Sieben,Germany,9/15/2021,10/09/2020,2021,TV-MA,87 min,"International Movies, Thrillers",4.3,7084
s79,Movie,He's All That,Mark Waters,United States,09-01-2021,1/03/2019,2021,TV-14,92 min,"Comedies, Romantic Movies",4.3,23474
s97,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India,09-01-2021,2/14/2019,2003,TV-14,136 min,"Dramas, International Movies, Thrillers",4.3,909
s277,Movie,Sardar Ka Grandson,Kaashvie Nair,India,6/17/2021,2/07/2018,2021,TV-14,140 min,"Comedies, Dramas, International Movies",4.3,4496
s4641,Movie,What Lies Below,Braden R. Duemmler,United States,5/18/2021,8/01/2021,2020,TV-MA,88 min,"Horror Movies, Thrillers",4.3,8125
s665,Movie,Welcome to Sudden Death,Dallas Jackson,United States,11-06-2020,4/22/2021,2020,R,80 min,Action & Adventure,4.3,0
s857,Movie,Aiyyaa,Sachin Kundalkar,India,09-10-2020,1/07/2021,2012,TV-14,151 min,"Comedies, International Movies, Music & Musicals",4.3,1871
s1216,Movie,Aurora,Cristi Puiu,Romania,05-11-2020,12/22/2020,2010,TV-MA,186 min,"Dramas, International Movies",4.3,603
s1235,TV Show,Six Windows in the Desert,"Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer",Saudi Arabia,05-02-2020,1/16/2020,2020,TV-14,1 Season,TV Shows,4.3,3074
s1247,Movie,The Last Thing He Wanted,Dee Rees,United States,4/29/2020,10/28/2020,2020,R,116 min,"Dramas, Thrillers",4.3,14716
s1567,Movie,Shanghai Fortress,Teng Huatao,China,12-01-2019,4/11/2019,2019,TV-14,107 min,"Dramas, International Movies, Romantic Movies",4.3,2345
s1585,Movie,Feo pero sabroso,Fernando Ayllón,Colombia,11/26/2019,1/10/2018,2018,TV-MA,91 min,"Comedies, International Movies",4.3,169
s1812,Movie,The Trap,Erik White,United States,7/18/2019,12/10/2018,2017,TV-MA,91 min,Comedies,4.3,1590
s2040,Movie,Christmas Wedding Planner,Justin G. Dyck,Canada,03-01-2019,6/04/2018,2017,PG,86 min,"Comedies, International Movies, Romantic Movies",4.3,5913
s2075,Movie,Hattrick,Milan Luthria,India,2/14/2019,1/09/2021,2007,TV-14,109 min,"Comedies, Dramas, International Movies",4.3,493
s2521,Movie,Fakkah Fuzz: Almost Banned,Michael McKay,Singapore,06-08-2018,1/00/1900,2018,TV-MA,61 min,Stand-Up Comedy,4.3,56
s2727,Movie,Aditi Mittal: Things They Wouldn't Let Me Say,Fazila Allana,India,12/23/2017,1/00/1900,2017,TV-MA,63 min,Stand-Up Comedy,4.3,330
s3210,Movie,The Bye Bye Man,Stacy Title,United States,4/29/2016,4/29/2016,2017,PG-13,96 min,"Horror Movies, Thrillers",4.3,23588
